,name,description,type,url
2,AI Benchmark Alpha,AI Benchmark Alpha is a Python library for evaluating artificial intelligence (AI) performance on diverse hardware platforms and relies upon the TensorFlow machine learning library.,System,https://openbenchmarking.org/test/pts/ai-benchmark
3,Aircrack-ng,Aircrack-ng is a tool for assessing WiFi/WLAN network security.,Processor,https://openbenchmarking.org/test/pts/aircrack-ng
4,Algebraic Multi-Grid Benchmark,AMG is a parallel algebraic multigrid solver for linear systems arising from problems on unstructured grids,Processor,https://openbenchmarking.org/test/pts/amg
5,AOBench,AOBench is a lightweight ambient occlusion renderer written in C,Processor,https://openbenchmarking.org/test/pts/aobench
6,AOM AV1,This is a test of the AOMedia AV1 encoder (libaom) run on the CPU with a sample 1080p video file.,Processor,https://openbenchmarking.org/test/pts/aom-av1
7,Apache HTTP Server,This is a test of the Apache HTTPD web server,System,https://openbenchmarking.org/test/pts/apache
8,Apache Benchmark,This is a test of ab which is the Apache benchmark program using the system's supplied Apache web server.,,https://openbenchmarking.org/test/system/apache
9,Apache Siege,This is a test of the Apache web server performance being facilitated by the Siege web serverb enchmark program.,System,https://openbenchmarking.org/test/pts/apache-siege
10,Appleseed,Appleseed is an open-source production renderer focused on physically-based global illumination rendering engine primarily designed for animation and visual effects.,System,https://openbenchmarking.org/test/pts/appleseed
11,AppTimer,AppTimer allows timing the automated start-up of various programs running on Microsoft Windows.,System,https://openbenchmarking.org/test/windows/apptimer
12,ArrayFire,ArrayFire is an GPU and CPU numeric processing library this test uses the built-in CPU and OpenCL ArrayFire benchmarks.,Processor,https://openbenchmarking.org/test/pts/arrayfire
13,Ashes of the Singulairty: Escalation,This is a benchmark of Ashes of the Singulairty: Escalation running under Steam Play (Proton) on Linux,Graphics,https://openbenchmarking.org/test/pts/ashes-escalation
14,ASKAP tConvolveCuda,This is a CUDA benchmark of ATNF's ASKAP Benchmark with currently using the tConvolveCuda sub-test.,Graphics,https://openbenchmarking.org/test/pts/askap
15,asmFish,This is a test of asmFish an advanced chess benchmark written in Assembly.,Processor,https://openbenchmarking.org/test/pts/asmfish
16,ASTC Encoder,ASTC Encoder (astcenc) is for the Adaptive Scalable Texture Compression (ASTC) format commonly used with OpenGL OpenGL ES and Vulkan graphics APIs,System,https://openbenchmarking.org/test/pts/astcenc
17,libavif avifenc,This is a test of the AOMedia libavif library testing the encoding of a JPEG image to AV1 Image Format (AVIF).,Processor,https://openbenchmarking.org/test/pts/avifenc
18,Basemark GPU,This is a benchmark of Basemark GPU,System,https://openbenchmarking.org/test/pts/basemark
19,Basis Universal,Basis Universal is a GPU texture codoec,System,https://openbenchmarking.org/test/pts/basis
20,Batman: Arkham Knight,This is a benchmark of >Batman: Arkham Knight running under Steam Play (Proton) on Linux,Graphics,https://openbenchmarking.org/test/pts/batman-knight
21,Batman: Arkham Origins,This is a benchmark of >Batman: Arkham Origins running under Steam Play (Proton) on Linux,Graphics,https://openbenchmarking.org/test/pts/batman-origins
22,Betsy GPU Compressor,Betsy is an open-source GPU compressor of various GPU compression techniques,Graphics,https://openbenchmarking.org/test/pts/betsy
23,BioShock Infinite,A Steam-based test of the BioShock Infinite game.,Graphics,https://openbenchmarking.org/test/pts/bioshock-infinite
24,BLAKE2,This is a benchmark of BLAKE2 using the blake2s binary,Processor,https://openbenchmarking.org/test/pts/blake2
25,Blender,Blender is an open-source 3D creation software project,System,https://openbenchmarking.org/test/pts/blender
26,Blender,Blender is an open-source 3D creation software project,System,https://openbenchmarking.org/test/system/blender
27,BlogBench,BlogBench is designed to replicate the load of a real-world busy file server by stressing the file-system with multiple threads of random reads writes and rewrites,Disk,https://openbenchmarking.org/test/pts/blogbench
28,BlogBench,BlogBench is designed to replicate the load of a real-world busy file server by stressing the file-system with multiple threads of random reads writes and rewrites,Disk,https://openbenchmarking.org/test/system/blogbench
29,C-Blosc,A simple compressed fast and persistent data store library for C.,Processor,https://openbenchmarking.org/test/pts/blosc
30,Bork File Encrypter,Bork is a small cross-platform file encryption utility,Processor,https://openbenchmarking.org/test/pts/bork
31,Botan,Botan is a cross-platform open-source C++ crypto library that supports most all publicly known cryptographic algorithms.,Processor,https://openbenchmarking.org/test/pts/botan
32,BRL-CAD,BRL-CAD is a cross-platform open-source solid modeling system with built-in benchmark mode.,System,https://openbenchmarking.org/test/pts/brl-cad
33,Timed Apache Compilation,This test times how long it takes to build the Apache HTTPD web server.,Processor,https://openbenchmarking.org/test/pts/build-apache
34,Timed Clash Compilation,Build the clash-lang Haskell to VHDL/Verilog/SystemVerilog compiler with GHC 8.10.1,Processor,https://openbenchmarking.org/test/pts/build-clash
35,Timed Eigen Compilation,This test times how long it takes to build all Eigen examples,Processor,https://openbenchmarking.org/test/pts/build-eigen
36,Timed Erlang/OTP Compilation,This test times how long it takes to compile Erlang/OTP,Processor,https://openbenchmarking.org/test/pts/build-erlang
37,Timed FFmpeg Compilation,This test times how long it takes to build the FFmpeg multimedia library.,Processor,https://openbenchmarking.org/test/pts/build-ffmpeg
38,Timed GCC Compilation,This test times how long it takes to build the GNU Compiler Collection (GCC).,Processor,https://openbenchmarking.org/test/pts/build-gcc
39,Timed GDB GNU Debugger Compilation,This test times how long it takes to build the GNU Debugger (GDB) in a default configuration.,Processor,https://openbenchmarking.org/test/pts/build-gdb
40,Timed Godot Game Engine Compilation,This test times how long it takes to compile the Godot Game Engine,Processor,https://openbenchmarking.org/test/pts/build-godot
41,Timed ImageMagick Compilation,This test times how long it takes to build ImageMagick.,Processor,https://openbenchmarking.org/test/pts/build-imagemagick
42,Timed Linux Kernel Compilation,This test times how long it takes to build the Linux kernel.,Processor,https://openbenchmarking.org/test/pts/build-linux-kernel
43,Timed LLVM Compilation,This test times how long it takes to build the LLVM compiler.,Processor,https://openbenchmarking.org/test/pts/build-llvm
44,Timed Mesa Compilation,This test profile times how long it takes to compile Mesa with Meson/Ninja,Processor,https://openbenchmarking.org/test/pts/build-mesa
45,Timed MPlayer Compilation,This test times how long it takes to build the MPlayer open-source media player program.,Processor,https://openbenchmarking.org/test/pts/build-mplayer
46,Timed Node.js Compilation,This test profile times how long it takes to build/compile Node.js itself from source,Processor,https://openbenchmarking.org/test/pts/build-nodejs
47,Timed PHP Compilation,This test times how long it takes to build PHP 7.,Processor,https://openbenchmarking.org/test/pts/build-php
48,Timed Wasmer Compilation,This test times how long it takes to compile Wasmer,Processor,https://openbenchmarking.org/test/pts/build-wasmer
49,Build2,This test profile measures the time to bootstrap/install the build2 C++ build toolchain from source,Processor,https://openbenchmarking.org/test/pts/build2
50,Bullet Physics Engine,This is a benchmark of the Bullet Physics Engine.,Processor,https://openbenchmarking.org/test/pts/bullet
51,BYTE Unix Benchmark,This is a test of BYTE.,Processor,https://openbenchmarking.org/test/pts/byte
52,C-Ray,This is a test of C-Ray a simple raytracer designed to test the floating-point CPU performance,Processor,https://openbenchmarking.org/test/pts/c-ray
53,CacheBench,This is a performance test of CacheBench which is part of LLCbench,Processor,https://openbenchmarking.org/test/pts/cachebench
54,Caffe AlexNet,This is a benchmark of the Caffe deep learning framework and currently uses the AlexNet model.,System,https://openbenchmarking.org/test/pts/caffe
55,Apache Cassandra,This is a benchmark of the Apache Cassandra NoSQL database management system making use of cassandra-stress.,System,https://openbenchmarking.org/test/pts/cassandra
56,Chia Blockchain VDF,Chia is a blockchain and smart transaction platform based on proofs of space and time rather than proofs of work with other cryptocurrencies,Processor,https://openbenchmarking.org/test/pts/chia-vdf
57,Maxon Cinebench,This is a test profile to run MAXON Cinebench on Windows.,System,https://openbenchmarking.org/test/pts/cinebench
58,Civilization VI,This is a benchmark of the Civilization VI game,Graphics,https://openbenchmarking.org/test/pts/civilization-vi
59,cl-mem,A basic OpenCL memory benchmark.,Graphics,https://openbenchmarking.org/test/pts/cl-mem
60,CLOMP,CLOMP is the C version of the Livermore OpenMP benchmark developed to measure OpenMP overheads and other performance impacts due to threading in order to influence future system designs,Processor,https://openbenchmarking.org/test/pts/clomp
61,CloudSuite Data Analytics,CloudSuite Data Analytics is a Docker-based benchmark and runs a Naive Bayes classifier on a Wikimedia dataset with Hadoop and Mahout.,System,https://openbenchmarking.org/test/pts/cloudsuite-da
62,CloudSuite Graph Analytics,CloudSuite Graph Analytics uses Apache GraphX + Spark to perform graph analytics (PageRank) on sample Twitter data.,System,https://openbenchmarking.org/test/pts/cloudsuite-ga
63,CloudSuite In-Memory Analytics,CloudSuite In-Memory Analytics uses Apache Spark and runs a collaborative filtering algorithm in-memory on a dataset of user-movie ratings from Movielens.,System,https://openbenchmarking.org/test/pts/cloudsuite-ma
64,CloudSuite Media Streaming,CloudSuite Media Streaming uses the Nginx web server for hosted videos of varying lengths/qualities.,System,https://openbenchmarking.org/test/pts/cloudsuite-ms
65,CloudSuite Web Serving,CloudSuite Web Serving is a Docker-based web server benchmark making use of a web server with Memcached and a MySQL database server.,System,https://openbenchmarking.org/test/pts/cloudsuite-ws
66,CloverLeaf,CloverLeaf is a Lagrangian-Eulerian hydrodynamics benchmark,Processor,https://openbenchmarking.org/test/pts/cloverleaf
67,clpeak,Clpeak is designed to test the peak capabilities of OpenCL devices.,System,https://openbenchmarking.org/test/pts/clpeak
68,clpeak,Clpeak is designed to test the peak capabilities of OpenCL devices.,System,https://openbenchmarking.org/test/system/clpeak
69,Company of Heroes 2,This is a benchmark of Company of Heroes on Steam,Graphics,https://openbenchmarking.org/test/pts/coh2
70,CoMD OpenCL,CoMD benchmark in OpenCL via GPUOpen.,System,https://openbenchmarking.org/test/pts/comd-cl
71,Compile Bench,Compilebench tries to age a filesystem by simulating some of the disk IO common in creating compiling patching stating and reading kernel trees,Disk,https://openbenchmarking.org/test/pts/compilebench
72,7-Zip Compression,This is a test of 7-Zip using p7zip with its integrated benchmark feature.,Processor,https://openbenchmarking.org/test/pts/compress-7zip
73,Gzip Compression,This test measures the time needed to compress a file using Gzip compression.,Processor,https://openbenchmarking.org/test/pts/compress-gzip
74,LZ4 Compression,This test measures the time needed to compress/decompress a sample file (an Ubuntu ISO) using LZ4 compression.,Processor,https://openbenchmarking.org/test/pts/compress-lz4
75,LZMA Compression,,,https://openbenchmarking.org/test/system/compress-lzma
76,Parallel BZIP2 Compression,This test measures the time needed to compress a file using BZIP2 compression.,Processor,https://openbenchmarking.org/test/pts/compress-pbzip2
77,PBZIP2 Compression,,,https://openbenchmarking.org/test/system/compress-pbzip2
78,RAR Compression,This test measures the time needed to archive/compress two copies of the Linux 4.13 kernel source tree using RAR/WinRAR compression.,System,https://openbenchmarking.org/test/pts/compress-rar
79,XZ Compression,This test measures the time needed to compress a sample file (an Ubuntu file-system image) using XZ compression.,Processor,https://openbenchmarking.org/test/pts/compress-xz
80,Zstd Compression,This test measures the time needed to compress/decompress a sample file (a FreeBSD disk image - FreeBSD-12.2-RELEASE-amd64-memstick.img) using Zstd compression with options for different compression levels / settings.,Processor,https://openbenchmarking.org/test/pts/compress-zstd
81,Zstd Compression,This test measures the time needed to compress a sample file (an Ubuntu file-system image) using Zstd compression supplied by the system or otherwise externally of the test profile.,Processor,https://openbenchmarking.org/test/system/compress-zstd
82,Core-Latency,This is a test of core-latency which measures the latency between all core combinations on the system processor(s),Processor,https://openbenchmarking.org/test/pts/core-latency
83,Coremark,This is a test of EEMBC CoreMark processor benchmark.,Processor,https://openbenchmarking.org/test/pts/coremark
84,Apache CouchDB,This is a bulk insertion benchmark of Apache CouchDB,System,https://openbenchmarking.org/test/pts/couchdb
85,CP2K Molecular Dynamics,CP2K is an open-source molecular dynamics software package focused on quantum chemistry and solid-state physics,Processor,https://openbenchmarking.org/test/pts/cp2k
86,CppPerformanceBenchmarks,CppPerformanceBenchmarks is a set of C++ compiler performance benchmarks.,System,https://openbenchmarking.org/test/pts/cpp-perf-bench
87,Cpuminer-Opt,Cpuminer-Opt is a fork of cpuminer-multi that carries a wide range of CPU performance optimizations for measuring the potential cryptocurrency mining performance of the CPU/processor with a wide variety of cryptocurrencies,Processor,https://openbenchmarking.org/test/pts/cpuminer-opt
88,Crafty,This is a performance test of Crafty an advanced open-source chess engine.,Processor,https://openbenchmarking.org/test/pts/crafty
89,Crypto++,Crypto++ is a C++ class library of cryptographic algorithms.,Processor,https://openbenchmarking.org/test/pts/cryptopp
90,Cryptsetup,This is a test profile for running the cryptsetup benchmark to report on the system's cryptography performance.,System,https://openbenchmarking.org/test/system/cryptsetup
91,Counter-Strike: Global Offensive,This is a benchmark of Valve's Counter-Strike: Global Offensive game,Graphics,https://openbenchmarking.org/test/pts/csgo
92,Counter-Strike Source,This is a benchmark of Valve's Counter-Strike: Source game,Graphics,https://openbenchmarking.org/test/pts/cstrike
93,ctx_clock,Ctx_clock is a simple test program to measure the context switch time in clock cycles.,System,https://openbenchmarking.org/test/pts/ctx-clock
94,CUDA Mini-Nbody,The CUDA version of Harrism's mini-nbody tests.,Graphics,https://openbenchmarking.org/test/pts/cuda-mini-nbody
95,Cyclictest,Cyclictest is a high-resolution test program for measuring the Linux kernel latencies.,System,https://openbenchmarking.org/test/pts/cyclictest
96,Cython benchmark,Stress benchmark tests to measure  time consumed by cython code,Processor,https://openbenchmarking.org/test/pts/cython-bench
97,DaCapo Benchmark,This test runs the DaCapo Benchmarks written in Java and intended to test system/CPU performance.,Processor,https://openbenchmarking.org/test/pts/dacapobench
98,Darmstadt Automotive Parallel Heterogeneous Suite,DAPHNE is the Darmstadt Automotive Parallel HeterogeNEous Benchmark Suite with OpenCL / CUDA / OpenMP test cases for these automotive benchmarks for evaluating programming models in context to vehicle autonomous driving capabilities.,System,https://openbenchmarking.org/test/pts/daphne
99,Darktable,Darktable is an open-source photography / workflow application.,System,https://openbenchmarking.org/test/system/darktable
100,dav1d,Dav1d is an open-source speedy AV1 video decoder,Processor,https://openbenchmarking.org/test/pts/dav1d
101,Dbench,Dbench is a benchmark designed by the Samba project as a free alternative to netbench but dbench contains only file-system calls for testing the disk performance.,Disk,https://openbenchmarking.org/test/system/dbench
102,DDraceNetwork,This is a test of DDraceNetwork an open-source cooperative platformer,Graphics,https://openbenchmarking.org/test/pts/ddnet
103,DeepSpeech,Mozilla DeepSpeech is a speech-to-text engine powered by TensorFlow for machine learning and derived from Baidu's Deep Speech research paper,Processor,https://openbenchmarking.org/test/pts/deepspeech
104,Deus Ex: Mankind Divided,This is a benchmark of Deus Ex: Mankind Divided on Steam,Graphics,https://openbenchmarking.org/test/pts/deus-exmd
105,DiRT Rally,This is a benchmark of DiRT Rally on Steam,Graphics,https://openbenchmarking.org/test/pts/dirt-rally
106,DiRT Rally 2.0,This is a benchmark of DiRT Rally 2.0 running under Steam Play (Proton) on Linux,Graphics,https://openbenchmarking.org/test/pts/dirt-rally2
107,DiRT Showdown,This is a benchmark of DiRT Showdown on Steam,Graphics,https://openbenchmarking.org/test/pts/dirt-showdown
108,Diskspd,Diskspd is an open-source storage testing software developed by Microsoft that succeeds the SQLIO benchmark.,Disk,https://openbenchmarking.org/test/windows/diskspd
109,Dolfyn,Dolfyn is a Computational Fluid Dynamics (CFD) code of modern numerical simulation techniques,Processor,https://openbenchmarking.org/test/pts/dolfyn
110,Dota 2,This is a benchmark of Valve's Dota 2 game,Graphics,https://openbenchmarking.org/test/pts/dota2
111,Dawn of War III,Dawn of War III Mad Max on Steam,Graphics,https://openbenchmarking.org/test/pts/dow3
112,Google Draco,Draco is a library developed by Google for compressing/decompressing 3D geometric meshes and point clouds,System,https://openbenchmarking.org/test/pts/draco
113,ebizzy,This is a test of ebizzy a program to generate workloads resembling web server workloads.,Processor,https://openbenchmarking.org/test/pts/ebizzy
114,ECP-CANDLE,The CANDLE benchmark codes implement deep learning architectures relevant to problems in cancer,System,https://openbenchmarking.org/test/pts/ecp-candle
115,Embree,Intel Embree is a collection of high-performance ray-tracing kernels for execution on CPUs.,Processor,https://openbenchmarking.org/test/pts/embree
116,FLAC Audio Encoding,This test times how long it takes to encode a sample WAV file to FLAC format.,,https://openbenchmarking.org/test/pts/encode-flac
117,LAME MP3 Encoding,LAME is an MP3 encoder licensed under the LGPL,,https://openbenchmarking.org/test/pts/encode-mp3
118,eSpeak-NG Speech Engine,This test times how long it takes the eSpeak speech synthesizer to read Project Gutenberg's The Outline of Science and output to a WAV file,Processor,https://openbenchmarking.org/test/pts/espeak
119,Enemy Territory,Wolfenstein: Enemy Territory is a World War II era first person shooter that was released for free by Splash Damage using the id Tech 3 engine.,Graphics,https://openbenchmarking.org/test/pts/et
120,Etcpak,"Etcpack is the self-proclaimed ""fastest ETC compressor on the planet"" with focused on providing open-source very fast ETC and S3 texture compression support.",Processor,https://openbenchmarking.org/test/pts/etcpak
121,Ethereum Ethminer,This is a benchmark of the Ethereum Ethminer.,System,https://openbenchmarking.org/test/system/ethminer
122,Ethr,Ethr is a cross-platform Golang-written network performance measurement tool developed by Microsoft that is capable of testing multiple protocols and different measurements.,Network,https://openbenchmarking.org/test/pts/ethr
123,ET: Legacy,ETLegacy is an open-source engine evolution of Wolfenstein: Enemy Territory a World War II era first person shooter that was released for free by Splash Damage using the id Tech 3 engine.,Graphics,https://openbenchmarking.org/test/pts/etlegacy
124,ET: Quake Wars,This test calculates the average frame-rate within the Enemy Territory: Quake Wars game from id Software / Splash Damage.,Graphics,https://openbenchmarking.org/test/pts/etqw
125,ET: Quake Wars Demo,This test calculates the average frame-rate within the demo for the game Enemy Territory: Quake Wars demo game.,Graphics,https://openbenchmarking.org/test/pts/etqw-demo
126,ET: Quake Wars Image Quality,,System,https://openbenchmarking.org/test/pts/etqw-demo-iqc
127,ETXreaL,ETXreaL is a new engine that's paired with the original id Software Enemy Territory game assets,Graphics,https://openbenchmarking.org/test/pts/etxreal
128,Euler3D,The STARS Euler3d CFD benchmark is using an AGARD 445.6 aeroelastic test wing for this computational fluid dynamics test.,System,https://openbenchmarking.org/test/windows/euler3d
129,F1 2015,This is a benchmark of F1 2015 via Steam,Graphics,https://openbenchmarking.org/test/pts/f12015
130,F1 2017,F1 2017 on Steam,Graphics,https://openbenchmarking.org/test/pts/f12017
131,F1 2018,This is a benchmark of F1 2018 running under Steam Play (Proton) on Linux,Graphics,https://openbenchmarking.org/test/pts/f12018
132,F1 2020,This is a benchmark of F1 2020 running under Steam Play (Proton) on Linux,Graphics,https://openbenchmarking.org/test/pts/f12020
133,FAHBench,FAHBench is a Folding@Home benchmark on the GPU.,System,https://openbenchmarking.org/test/pts/fahbench
134,FFmpeg,This test uses FFmpeg for testing the system's audio/video encoding performance.,Processor,https://openbenchmarking.org/test/pts/ffmpeg
135,FFTE,FFTE is a package by Daisuke Takahashi to compute Discrete Fourier Transforms of 1- 2- and 3- dimensional sequences of length (2^p)*(3^q)*(5^r).,Processor,https://openbenchmarking.org/test/pts/ffte
136,FFTW,FFTW is a C subroutine library for computing the discrete Fourier transform (DFT) in one or more dimensions.,Processor,https://openbenchmarking.org/test/pts/fftw
137,Fhourstones,This integer benchmark solves positions in the game of connect-4 as played on a vertical 7x6 board,Processor,https://openbenchmarking.org/test/pts/fhourstones
138,FinanceBench,FinanceBench is a collection of financial program benchmarks with support for benchmarking on the GPU.,Graphics,https://openbenchmarking.org/test/pts/financebench
139,Flexible IO Tester,FIO the Flexible I/O Tester is an advanced Linux disk benchmark supporting multiple I/O engines and a wealth of options,Disk,https://openbenchmarking.org/test/pts/fio
140,Flexible IO Tester,Fio is an advanced disk benchmark that depends upon the kernel's AIO access library.,Disk,https://openbenchmarking.org/test/system/fio
141,FS-Mark,FS_Mark is designed to test a system's file-system performance.,Disk,https://openbenchmarking.org/test/pts/fs-mark
142,Geekbench,This is a benchmark of Geekbench 5 Pro,System,https://openbenchmarking.org/test/pts/geekbench
143,GeeXLab,GeeXLab is a cross-platform tool for 3D programming and demo creation.,Graphics,https://openbenchmarking.org/test/pts/geexlab
144,GeeXLab Vulkan Ray-Tracing Demo,GeeXLab is a cross-platform tool for 3D programming and demo creation,Graphics,https://openbenchmarking.org/test/pts/geexlab-rt
145,GEGL,GEGL is the Generic Graphics Library and is the library/framework used by GIMP and other applications like GNOME Photos,System,https://openbenchmarking.org/test/system/gegl
146,GFXBench,This is a benchmark of GFXBench.,Graphics,https://openbenchmarking.org/test/pts/gfxbench
147,GIMP,GIMP is an open-source image manipulaton program,System,https://openbenchmarking.org/test/system/gimp
148,Git,This test measures the time needed to carry out some sample Git operations on an example static repository that happens to be a copy of the GNOME GTK tool-kit repository.,System,https://openbenchmarking.org/test/pts/git
149,GL-vs-VK,GL_vs_VK is a comparison of OpenGL and Vulkan APIs in simple performance micro-benchmarks.,Graphics,https://openbenchmarking.org/test/pts/gl-vs-vk
150,glibc bench, The GNU C Library project provides the core libraries for the GNU system and GNU/Linux systems as well as many other systems that use Linux as the kernel,Processor,https://openbenchmarking.org/test/pts/glibc-bench
151,GLmark2,This is a test of Linaro's glmark2 port currently using the X11 OpenGL 2.0 target,Graphics,https://openbenchmarking.org/test/pts/glmark2
152,GLmark2,This is a test of any system-installed GLMark2 OpenGL benchmark.,Graphics,https://openbenchmarking.org/test/system/glmark2
153,G'MIC,G'MIC is an open-source framework for image processing.,System,https://openbenchmarking.org/test/system/gmic
154,GNU GMP GMPbench,GMPbench is a test of the GNU Multiple Precision Arithmetic (GMP) Library,Processor,https://openbenchmarking.org/test/pts/gmpbench
155,GnuPG,This test times how long it takes to encrypt a sample file using GnuPG.,Processor,https://openbenchmarking.org/test/pts/gnupg
156,GnuPG,This test times how long it takes to encrypt a file using GnuPG.,Processor,https://openbenchmarking.org/test/system/gnupg
157,GNU Radio,GNU Radio is a free software development toolkit providing signal processing blocks to implement software-defined radios (SDR) and signal processing systems.,Processor,https://openbenchmarking.org/test/system/gnuradio
158,Go Benchmarks,Benchmark for monitoring real time performance of the Go implementation for HTTP JSON and garbage testing per iteration.,Processor,https://openbenchmarking.org/test/pts/go-benchmark
