id,Model name,Process,TDP,Release Year
1,AMD A10-4600M,32,35,2012
2,AMD A10-4655M,32,25,2012
3,AMD A10-5700,32,65,2012
4,AMD A10-5745M,32,25,2013
5,AMD A10-5750M,32,35,2013
6,AMD A10-5757M,32,35,2013
7,AMD A10-5800B,32,100,2012
8,AMD A10-5800K,32,100,2012
9,AMD A10-6700,32,65,2013
10,AMD A10-6700T,32,45,2013
11,AMD A10-6790K,32,100,2013
12,AMD A10-6800K,32,100,2013
13,AMD A10-7700K,28,95,2014
14,AMD A10-7850K,28,95,2014
15,AMD A10-7870K,28,95,2015
16,AMD A10-7890K,28,95,2016
17,AMD A10-9700,28,65,2017
18,AMD A10-9700E,28,35,2017
19,AMD A12-9800,28,65,2017
20,AMD A12-9800E,28,35,2017
21,AMD A4-1200,32,4,2013
22,AMD A4-1250,32,8,2013
23,AMD A4-1350,32,8,2013
24,AMD A4-3300,32,65,2011
25,AMD A4-3300M,32,35,2011
26,AMD A4-3305M,32,35,2011
27,AMD A4-3310MX,32,35,2011
28,AMD A4-3320M,32,35,2011
29,AMD A4-3330MX,32,45,2011
30,AMD A4-3400,32,65,2011
31,AMD A4-3420,32,65,2011
32,AMD A4-4000,32,65,2013
33,AMD A4-4300M,32,35,2012
34,AMD A4-4355M,32,17,2012
35,AMD A4-5000,32,15,2013
36,AMD A4-5050,32,15,2014
37,AMD A4-5145M,32,17,2013
38,AMD A4-5150M,32,35,2013
39,AMD A4-5300,32,65,2012
40,AMD A4-5300B,32,65,2012
41,AMD A4-6300,32,65,2013
42,AMD A6-1450,32,8,2013
43,AMD A6-3400M,32,35,2011
44,AMD A6-3410MX,32,45,2011
45,AMD A6-3420M,32,35,2011
46,AMD A6-3430MX,32,45,2011
47,AMD A6-3500,32,65,2011
48,AMD A6-3600,32,65,2011
49,AMD A6-3620,32,65,2011
50,AMD A6-3650,32,100,2011
51,AMD A6-3670K,32,100,2011
52,AMD A6-4400M,32,35,2012
53,AMD A6-4455M,32,17,2012
54,AMD A6-5200,32,25,2013
55,AMD A6-5345M,32,17,2013
56,AMD A6-5350M,32,35,2013
57,AMD A6-5357M,32,35,2013
58,AMD A6-5400B,32,65,2012
59,AMD A6-5400K,32,65,2012
60,AMD A6-6400K,32,65,2013
61,AMD A6-9120C SoC,28,6,2019
62,AMD A6-9220C SoC,28,6,2019
63,AMD A6-9500,28,65,2017
64,AMD A6-9500E,28,35,2017
65,AMD A6-9550,28,65,2017
66,AMD A8-3500M,32,35,2011
67,AMD A8-3510MX,32,45,2011
68,AMD A8-3520M,32,35,2011
69,AMD A8-3530MX,32,45,2011
70,AMD A8-3550MX,32,45,2011
71,AMD A8-3800,32,65,2011
72,AMD A8-3820,32,65,2011
73,AMD A8-3850,32,100,2011
74,AMD A8-3870K,32,100,2011
75,AMD A8-4500M,32,35,2012
76,AMD A8-4555M,32,19,2012
77,AMD A8-5500,32,65,2012
78,AMD A8-5500B,32,65,2012
79,AMD A8-5545M,32,25,2013
80,AMD A8-5550M,32,35,2013
81,AMD A8-5557M,32,35,2013
82,AMD A8-5600K,32,100,2012
83,AMD A8-6500,32,65,2013
84,AMD A8-6600K,32,100,2013
85,AMD A8-7680,28,45,2018
86,AMD A8-9600,28,65,2017
87,AMD A9-9400 SoC,28,10,2016
88,AMD A9-9410 SoC,28,25,2016
89,AMD A9-9420 SoC,28,15,2016
90,AMD A9-9425 SoC,28,15,2016
91,AMD Athlon 1000,180,54,2000
92,AMD Athlon 1000,180,54,2000
93,AMD Athlon 1100,180,60,2000
94,AMD Athlon 1133,180,63,2000
95,AMD Athlon 1200,180,66,2000
96,AMD Athlon 1200,180,66,2000
97,AMD Athlon 1300,180,68,2001
98,AMD Athlon 1333,180,70,2001
99,AMD Athlon 1400,180,72,2001
100,AMD Athlon 1400,180,72,2001
101,AMD Athlon 200GE,14,35,2018
102,AMD Athlon 220GE,14,35,2018
103,AMD Athlon 220GE,14,35,2018
104,AMD Athlon 220GE,14,35,2018
105,AMD Athlon 240GE,14,35,2018
106,AMD Athlon 3000G,14,35,2019
107,AMD Athlon 300U,14,15,2019
108,AMD Athlon 600,180,38,2000
109,AMD Athlon 64 1500+,90,9,2005
110,AMD Athlon 64 2000+,65,8,2008
111,AMD Athlon 64 2600+,65,15,2008
112,AMD Athlon 64 2650e,65,15,2009
113,AMD Athlon 64 2700+,130,32,2004
114,AMD Athlon 64 2800+,130,32,2004
115,AMD Athlon 64 2800+,130,89,2004
116,AMD Athlon 64 2800+,130,89,2004
117,AMD Athlon 64 2850e,65,22,2008
118,AMD Athlon 64 3000+,90,51,2001
119,AMD Athlon 64 3000+,90,51,2001
120,AMD Athlon 64 3000+,130,89,2003
121,AMD Athlon 64 3000+,130,89,2004
122,AMD Athlon 64 3000+,130,32,2004
123,AMD Athlon 64 3000+,90,67,2004
124,AMD Athlon 64 3000+,130,89,2004
125,AMD Athlon 64 3000+,130,62,2005
126,AMD Athlon 64 3000+,90,67,2005
127,AMD Athlon 64 3000+,90,62,2006
128,AMD Athlon 64 3100+,65,25,2008
129,AMD Athlon 64 3200+,90,59,2001
130,AMD Athlon 64 3200+,130,89,2001
131,AMD Athlon 64 3200+,130,89,2003
132,AMD Athlon 64 3200+,130,89,2004
133,AMD Athlon 64 3200+,90,67,2004
134,AMD Athlon 64 3200+,130,89,2004
135,AMD Athlon 64 3200+,130,83,2005
136,AMD Athlon 64 3200+,130,62,2005
137,AMD Athlon 64 3200+,90,67,2005
138,AMD Athlon 64 3200+,90,67,2005
139,AMD Athlon 64 3200+,90,62,2006
140,AMD Athlon 64 3200+,65,45,2007
141,AMD Athlon 64 3300+,130,89,2004
142,AMD Athlon 64 3400+,90,67,2001
143,AMD Athlon 64 3400+,90,67,2001
144,AMD Athlon 64 3400+,130,89,2001
145,AMD Athlon 64 3400+,130,89,2004
146,AMD Athlon 64 3400+,130,89,2004
147,AMD Athlon 64 3400+,130,89,2004
148,AMD Athlon 64 3400+,130,83,2005
149,AMD Athlon 64 3500+,90,67,2001
150,AMD Athlon 64 3500+,90,67,2004
151,AMD Athlon 64 3500+,130,89,2004
152,AMD Athlon 64 3500+,130,89,2004
153,AMD Athlon 64 3500+,90,67,2005
154,AMD Athlon 64 3500+,90,67,2005
155,AMD Athlon 64 3500+,90,62,2006
156,AMD Athlon 64 3500+,90,62,2007
157,AMD Athlon 64 3500+,65,45,2007
158,AMD Athlon 64 3500+ (F3),90,59,2007
159,AMD Athlon 64 3500+ EE,90,35,2007
160,AMD Athlon 64 3600+,130,89,2004
161,AMD Athlon 64 3700+,90,89,2001
162,AMD Athlon 64 3700+,130,89,2004
163,AMD Athlon 64 3700+,90,89,2004
164,AMD Athlon 64 3700+,130,83,2005
165,AMD Athlon 64 3800+,130,89,2004
166,AMD Athlon 64 3800+,130,89,2004
167,AMD Athlon 64 3800+,90,89,2005
168,AMD Athlon 64 3800+,90,62,2006
169,AMD Athlon 64 3800+,65,45,2007
170,AMD Athlon 64 3800+,90,62,2007
171,AMD Athlon 64 3800+ (F3),90,59,2007
172,AMD Athlon 64 4000+,90,89,2001
173,AMD Athlon 64 4000+,90,89,2004
174,AMD Athlon 64 4000+,130,89,2004
175,AMD Athlon 64 4000+,130,62,2005
176,AMD Athlon 64 4000+,90,62,2007
177,AMD Athlon 64 4000+ (F3),90,59,2007
178,AMD Athlon 64 FX-51,130,89,2003
179,AMD Athlon 64 FX-53,130,89,2004
180,AMD Athlon 64 FX-53,130,89,2004
181,AMD Athlon 64 FX-55,90,104,2004
182,AMD Athlon 64 FX-55,130,104,2004
183,AMD Athlon 64 FX-57,90,104,2005
184,AMD Athlon 64 FX-60,90,110,2006
185,AMD Athlon 64 FX-62,90,125,2006
186,AMD Athlon 64 FX-70,90,125,2006
187,AMD Athlon 64 FX-72,90,125,2006
188,AMD Athlon 64 FX-74,90,125,2006
189,AMD Athlon 64 FX-76,90,125,2006
190,AMD Athlon 64 LE-1600,90,45,2007
191,AMD Athlon 64 LE-1600,90,45,2007
192,AMD Athlon 64 LE-1620,90,45,2007
193,AMD Athlon 64 LE-1620,90,45,2007
194,AMD Athlon 64 LE-1640,90,45,2007
195,AMD Athlon 64 LE-1640,65,45,2008
196,AMD Athlon 64 LE-1640,90,45,2009
197,AMD Athlon 64 LE-1640B,65,45,2008
198,AMD Athlon 64 LE-1660,65,45,2008
199,AMD Athlon 64 X2 3600+,90,89,2001
200,AMD Athlon 64 X2 3600+,65,65,2006
201,AMD Athlon 64 X2 3600+ EE,90,65,2006
202,AMD Athlon 64 X2 3800+,90,89,2005
203,AMD Athlon 64 X2 3800+,90,89,2005
204,AMD Athlon 64 X2 3800+,90,89,2006
205,AMD Athlon 64 X2 3800+ EE,90,65,2006
206,AMD Athlon 64 X2 3800+ EE SFF,90,35,2006
207,AMD Athlon 64 X2 4000+,65,65,2006
208,AMD Athlon 64 X2 4000+,90,89,2006
209,AMD Athlon 64 X2 4000+ EE,90,65,2006
210,AMD Athlon 64 X2 4200+,65,65,2006
211,AMD Athlon 64 X2 4200+,90,89,2006
212,AMD Athlon 64 X2 4200+,90,89,2006
213,AMD Athlon 64 X2 4200+,90,89,2006
214,AMD Athlon 64 X2 4200+ EE,90,65,2006
215,AMD Athlon 64 X2 4400+,90,89,2006
216,AMD Athlon 64 X2 4400+,90,110,2006
217,AMD Athlon 64 X2 4400+,65,65,2006
218,AMD Athlon 64 X2 4400+ EE,90,65,2006
219,AMD Athlon 64 X2 4600+,90,89,2006
220,AMD Athlon 64 X2 4600+,90,89,2006
221,AMD Athlon 64 X2 4600+,90,110,2006
222,AMD Athlon 64 X2 4600+,65,65,2008
223,AMD Athlon 64 X2 4600+ EE,90,65,2006
224,AMD Athlon 64 X2 4800+,90,110,2006
225,AMD Athlon 64 X2 4800+,65,65,2006
226,AMD Athlon 64 X2 4800+,90,89,2006
227,AMD Athlon 64 X2 4800+ EE,90,65,2006
228,AMD Athlon 64 X2 5000+,90,89,2006
229,AMD Athlon 64 X2 5000+,65,65,2006
230,AMD Athlon 64 X2 5000+ BE,65,65,2007
231,AMD Athlon 64 X2 5000+ EE,90,65,2006
232,AMD Athlon 64 X2 5000+ EE,90,65,2007
233,AMD Athlon 64 X2 5200+,90,89,2006
234,AMD Athlon 64 X2 5200+,65,65,2007
235,AMD Athlon 64 X2 5200+ EE,90,65,2006
236,AMD Athlon 64 X2 5400+,90,89,2006
237,AMD Athlon 64 X2 5400+,65,65,2008
238,AMD Athlon 64 X2 5400+ BE,65,65,2008
239,AMD Athlon 64 X2 5600+,90,89,2006
240,AMD Athlon 64 X2 5600+,65,65,2008
241,AMD Athlon 64 X2 5800+,65,89,2008
242,AMD Athlon 64 X2 6000+,90,125,2007
243,AMD Athlon 64 X2 6000+,65,89,2007
244,AMD Athlon 64 X2 6400+ BE,90,125,2007
245,AMD Athlon 650,180,38,2000
246,AMD Athlon 700,180,40,2000
247,AMD Athlon 750,180,43,2000
248,AMD Athlon 800,180,45,2000
249,AMD Athlon 850,180,47,2000
250,AMD Athlon 900,180,50,2000
251,AMD Athlon 950,180,52,2000
252,AMD Athlon Gold 3150G,12,65,2020
253,AMD Athlon Gold 3150GE,12,35,2020
254,AMD Athlon Gold PRO 3150G,12,65,2020
255,AMD Athlon Gold PRO 3150GE,12,35,2020
256,AMD Athlon II X2 210e,45,45,2010
257,AMD Athlon II X2 215,45,65,2009
258,AMD Athlon II X2 220,45,65,2010
259,AMD Athlon II X2 235e,45,45,2009
260,AMD Athlon II X2 240,45,65,2009
261,AMD Athlon II X2 240e,45,45,2009
262,AMD Athlon II X2 245,45,65,2009
263,AMD Athlon II X2 245e,45,45,2010
264,AMD Athlon II X2 250,45,65,2009
265,AMD Athlon II X2 250e,45,45,2010
266,AMD Athlon II X2 250u,45,25,2009
267,AMD Athlon II X2 255,45,65,2010
268,AMD Athlon II X2 260,45,65,2010
269,AMD Athlon II X2 260u,45,25,2009
270,AMD Athlon II X2 265,45,65,2010
271,AMD Athlon II X2 270,45,65,2011
272,AMD Athlon II X2 270u,45,25,2010
273,AMD Athlon II X2 280,45,65,2013
274,AMD Athlon II X3 400e,45,45,2009
275,AMD Athlon II X3 405e,45,45,2009
276,AMD Athlon II X3 415e,45,45,2010
277,AMD Athlon II X3 420e,45,45,2010
278,AMD Athlon II X3 425,45,95,2009
279,AMD Athlon II X3 425e,45,45,2011
280,AMD Athlon II X3 435,45,95,2009
281,AMD Athlon II X3 440,45,95,2010
282,AMD Athlon II X3 445,45,95,2010
283,AMD Athlon II X3 450,45,95,2010
284,AMD Athlon II X3 455,45,95,2010
285,AMD Athlon II X3 460,45,95,2011
286,AMD Athlon II X4 600e,45,45,2009
287,AMD Athlon II X4 605e,45,45,2009
288,AMD Athlon II X4 610e,45,45,2010
289,AMD Athlon II X4 615e,45,45,2010
290,AMD Athlon II X4 620,45,95,2009
291,AMD Athlon II X4 620e,45,45,2011
292,AMD Athlon II X4 630,45,95,2009
293,AMD Athlon II X4 631,32,100,2011
294,AMD Athlon II X4 635,45,95,2010
295,AMD Athlon II X4 638,32,65,2012
296,AMD Athlon II X4 640,45,95,2010
297,AMD Athlon II X4 641,32,100,2012
298,AMD Athlon II X4 645,45,95,2010
299,AMD Athlon II X4 651,32,100,2011
300,AMD Athlon II X4 651K,32,100,2011
301,AMD Athlon PRO 200GE,14,35,2018
302,AMD Athlon PRO 300U,14,15,2019
303,AMD Athlon Silver 3050GE,12,35,2020
304,AMD Athlon Silver PRO 3125GE,12,35,2020
305,AMD Athlon X2 4050e,65,45,2008
306,AMD Athlon X2 4450e,65,45,2008
307,AMD Athlon X2 4850e,65,45,2008
308,AMD Athlon X2 5050e,65,45,2008
309,AMD Athlon X2 6500 BE,65,95,2008
310,AMD Athlon X2 7450,65,95,2008
311,AMD Athlon X2 7550,65,95,2008
312,AMD Athlon X2 7750 BE,65,95,2008
313,AMD Athlon X2 7850 BE,65,95,2009
314,AMD Athlon X2 BE-2300,65,45,2007
315,AMD Athlon X2 BE-2350,65,45,2007
316,AMD Athlon X2 BE-2400,65,45,2007
317,AMD Athlon X2 QL-60,65,35,2008
318,AMD Athlon X2 QL-62,65,25,2008
319,AMD Athlon X2 QL-64,65,35,2008
320,AMD Athlon X2 QL-65,65,35,2008
321,AMD Athlon X2 QL-67,65,35,2008
322,AMD Athlon X4 940,28,65,2017
323,AMD Athlon X4 950,28,65,2017
324,AMD Athlon X4 970,28,65,2017
325,AMD Athlon XP 1500+,180,60,2001
326,AMD Athlon XP 1600+,180,63,2001
327,AMD Athlon XP 1600+,130,49,2001
328,AMD Athlon XP 1700+,130,50,2001
329,AMD Athlon XP 1700+,130,50,2001
330,AMD Athlon XP 1700+,180,64,2001
331,AMD Athlon XP 1800+,180,66,2001
332,AMD Athlon XP 1800+,130,51,2001
333,AMD Athlon XP 1800+,130,51,2002
334,AMD Athlon XP 1900+,130,53,2001
335,AMD Athlon XP 1900+,180,68,2001
336,AMD Athlon XP 2000+,130,60,2002
337,AMD Athlon XP 2000+,130,60,2002
338,AMD Athlon XP 2000+,180,70,2002
339,AMD Athlon XP 2000+,130,60,2003
340,AMD Athlon XP 2000+,130,60,2003
341,AMD Athlon XP 2100+,130,62,2001
342,AMD Athlon XP 2100+,180,72,2002
343,AMD Athlon XP 2200+,130,63,2001
344,AMD Athlon XP 2200+,130,68,2002
345,AMD Athlon XP 2200+,130,63,2003
346,AMD Athlon XP 2200+,130,63,2003
347,AMD Athlon XP 2400+,130,65,2002
348,AMD Athlon XP 2400+,130,68,2002
349,AMD Athlon XP 2400+,130,68,2003
350,AMD Athlon XP 2400+,130,68,2003
351,AMD Athlon XP 2500+,130,68,2003
352,AMD Athlon XP 2500+ DTR,130,68,2003
353,AMD Athlon XP 2600+,130,68,2001
354,AMD Athlon XP 2600+,130,68,2002
355,AMD Athlon XP 2600+,130,68,2002
356,AMD Athlon XP 2600+,130,68,2003
357,AMD Athlon XP 2600+,130,68,2003
358,AMD Athlon XP 2600+ DTR,130,68,2001
359,AMD Athlon XP 2700+,130,68,2002
360,AMD Athlon XP 2800+,130,68,2001
361,AMD Athlon XP 2800+,130,74,2002
362,AMD Athlon XP 2800+ DTR,130,68,2001
363,AMD Athlon XP 3000+,130,68,2001
364,AMD Athlon XP 3000+,130,68,2001
365,AMD Athlon XP 3100+,130,68,2003
366,AMD Athlon XP 3200+,130,77,2001
367,AMD Athlon XP-M 2000+,130,45,2001
368,AMD Athlon XP-M 2200+,130,45,2001
369,AMD Athlon XP-M 2200+,130,45,2002
370,AMD Athlon XP-M 2400+,130,45,2001
371,AMD Athlon XP-M 2500+,130,45,2001
372,AMD Athlon XP-M 2600+,130,45,2001
373,AMD Athlon XP-M 3000+,130,45,2001
374,AMD C-30,40,9,2011
375,AMD C-50,40,9,2011
376,AMD C-60,40,9,2011
377,AMD C-70,40,9,2012
378,AMD E-240,40,18,2011
379,AMD E-300,40,18,2011
380,AMD E-350,40,18,2011
381,AMD E-450,40,18,2011
382,AMD E1-1200,40,18,2012
383,AMD E1-1500,40,18,2013
384,AMD E1-2100,32,9,2013
385,AMD E1-2150,32,9,2014
386,AMD E1-2500,32,15,2013
387,AMD E2-1800,40,18,2012
388,AMD E2-2000,40,18,2013
389,AMD E2-3000,32,15,2013
390,AMD E2-3000M,32,35,2011
391,AMD E2-3200,32,65,2011
392,AMD EPYC 7232P,7,120,2019
393,AMD EPYC 7251,14,120,2017
394,AMD EPYC 7252,7,120,2019
395,AMD EPYC 7261,14,170,2018
396,AMD EPYC 7262,7,155,2019
397,AMD EPYC 7272,7,120,2019
398,AMD EPYC 7281,14,170,2017
399,AMD EPYC 7282,7,120,2019
400,AMD EPYC 72F3,7,180,2021
401,AMD EPYC 7301,14,170,2017
402,AMD EPYC 7302,7,155,2019
403,AMD EPYC 7302P,7,155,2019
404,AMD EPYC 7313,7,155,2021
405,AMD EPYC 7313P,7,155,2021
406,AMD EPYC 7343,7,190,2021
407,AMD EPYC 7351,14,170,2017
408,AMD EPYC 7351P,14,170,2017
409,AMD EPYC 7352,7,155,2019
410,AMD EPYC 7371,14,170,2018
411,AMD EPYC 73F3,7,240,2021
412,AMD EPYC 7401,14,170,2017
413,AMD EPYC 7401P,14,170,2017
414,AMD EPYC 7402,7,180,2019
415,AMD EPYC 7402P,7,180,2019
416,AMD EPYC 7413,7,180,2021
417,AMD EPYC 7443,7,200,2021
418,AMD EPYC 7443P,7,200,2021
419,AMD EPYC 7451,14,180,2017
420,AMD EPYC 7452,7,155,2019
421,AMD EPYC 7453,7,225,2021
422,AMD EPYC 74F3,7,240,2021
423,AMD EPYC 7501,14,170,2017
424,AMD EPYC 7502,7,180,2019
425,AMD EPYC 7502P,7,180,2019
426,AMD EPYC 7513,7,200,2021
427,AMD EPYC 7542,7,225,2019
428,AMD EPYC 7543,7,225,2021
429,AMD EPYC 7543P,7,225,2021
430,AMD EPYC 7551,14,180,2017
431,AMD EPYC 7551P,14,180,2017
432,AMD EPYC 7552,7,200,2019
433,AMD EPYC 75F3,7,280,2021
434,AMD EPYC 7601,14,180,2017
435,AMD EPYC 7642,7,225,2019
436,AMD EPYC 7643,7,225,2021
437,AMD EPYC 7663,7,240,2021
438,AMD EPYC 7702,7,200,2019
439,AMD EPYC 7702P,7,200,2019
440,AMD EPYC 7713,7,225,2021
441,AMD EPYC 7713P,7,225,2021
442,AMD EPYC 7742,7,225,2019
443,AMD EPYC 7763,7,280,2021
444,AMD EPYC 7F32,7,180,2020
445,AMD EPYC 7F52,7,155,2020
446,AMD EPYC 7F72,7,240,2020
447,AMD EPYC 7H12,7,280,2019
448,AMD EPYC Embedded 3251,14,50,2018
449,AMD FX-4100,32,95,2011
450,AMD FX-4120,32,95,2012
451,AMD FX-4130,32,125,2013
452,AMD FX-4150,32,95,2012
453,AMD FX-4170,32,125,2012
454,AMD FX-4300,32,95,2012
455,AMD FX-4320,32,95,2012
456,AMD FX-4350,32,125,2013
457,AMD FX-6100,32,95,2011
458,AMD FX-6120,32,95,2012
459,AMD FX-6130,32,95,2012
460,AMD FX-6200,32,125,2012
461,AMD FX-6300,32,95,2012
462,AMD FX-6330,32,125,2015
463,AMD FX-6350,32,125,2013
464,AMD FX-8100,32,95,2011
465,AMD FX-8120,32,125,2011
466,AMD FX-8140,32,95,2012
467,AMD FX-8150,32,125,2011
468,AMD FX-8170,32,125,2012
469,AMD FX-8300,32,95,2012
470,AMD FX-8320,32,125,2012
471,AMD FX-8320E,32,95,2014
472,AMD FX-8350,32,125,2012
473,AMD FX-8370,32,125,2014
474,AMD FX-8370E,32,95,2014
475,AMD FX-9370,32,220,2013
476,AMD FX-9590,32,220,2013
477,AMD Mobile Athlon 64 2700+,130,82,2004
478,AMD Mobile Athlon 64 2700+,130,35,2005
479,AMD Mobile Athlon 64 2700+,130,35,2005
480,AMD Mobile Athlon 64 2800+,130,82,2003
481,AMD Mobile Athlon 64 2800+,130,82,2004
482,AMD Mobile Athlon 64 2800+,130,62,2004
483,AMD Mobile Athlon 64 2800+,130,35,2004
484,AMD Mobile Athlon 64 3000+,130,82,2003
485,AMD Mobile Athlon 64 3000+,130,35,2004
486,AMD Mobile Athlon 64 3000+,130,62,2004
487,AMD Mobile Athlon 64 3200+,130,82,2003
488,AMD Mobile Athlon 64 3200+,130,62,2004
489,AMD Mobile Athlon 64 3400+,130,62,2005
490,AMD Mobile Athlon 64 3400+,130,82,2005
491,AMD Mobile Athlon 64 3700+,130,82,2005
492,AMD Opteron 140,130,85,2003
493,AMD Opteron 140,130,82,2003
494,AMD Opteron 140,130,82,2004
495,AMD Opteron 140 EE,130,30,2004
496,AMD Opteron 142,130,82,2003
497,AMD Opteron 142,130,85,2003
498,AMD Opteron 142,130,82,2004
499,AMD Opteron 144,130,82,2003
500,AMD Opteron 144,130,85,2003
501,AMD Opteron 144,130,82,2004
502,AMD Opteron 144,90,67,2005
503,AMD Opteron 144,90,67,2005
504,AMD Opteron 146,130,89,2003
505,AMD Opteron 146,90,67,2005
506,AMD Opteron 146,90,67,2005
507,AMD Opteron 146,90,67,2005
508,AMD Opteron 146 HE,130,55,2004
509,AMD Opteron 148,130,89,2003
510,AMD Opteron 148,130,89,2004
511,AMD Opteron 148,90,85,2005
512,AMD Opteron 148,90,85,2005
513,AMD Opteron 148 HE,90,55,2004
514,AMD Opteron 150,130,89,2004
515,AMD Opteron 150,90,85,2005
516,AMD Opteron 150,90,85,2005
517,AMD Opteron 152,90,104,2005
518,AMD Opteron 152,90,104,2005
519,AMD Opteron 154,90,104,2005
520,AMD Opteron 156,90,104,2005
521,AMD Opteron 2350 HE,65,79,2008
522,AMD Opteron 240,130,82,2003
523,AMD Opteron 240,130,85,2003
524,AMD Opteron 240,130,82,2004
525,AMD Opteron 240 EE,130,30,2004
526,AMD Opteron 242,130,85,2003
527,AMD Opteron 242,130,82,2003
528,AMD Opteron 242,130,82,2004
529,AMD Opteron 242,90,85,2004
530,AMD Opteron 244,130,82,2003
531,AMD Opteron 244,130,85,2003
532,AMD Opteron 244,130,82,2004
533,AMD Opteron 244,90,85,2004
534,AMD Opteron 246,130,89,2003
535,AMD Opteron 246,90,85,2004
536,AMD Opteron 246,90,85,2004
537,AMD Opteron 246 HE,130,55,2004
538,AMD Opteron 246 HE,90,55,2005
539,AMD Opteron 248,130,89,2003
540,AMD Opteron 248,90,85,2004
541,AMD Opteron 248,130,89,2004
542,AMD Opteron 248,90,85,2004
543,AMD Opteron 248 HE,90,55,2005
544,AMD Opteron 250,130,89,2004
545,AMD Opteron 250,90,85,2004
546,AMD Opteron 250 HE,90,55,2005
547,AMD Opteron 252,90,92,2005
548,AMD Opteron 254,90,92,2005
549,AMD Opteron 3320 EE,32,25,2012
550,AMD Opteron 3350 HE,32,45,2012
551,AMD Opteron 3380,32,65,2012
552,AMD Opteron 4310 EE,32,35,2012
553,AMD Opteron 4332 HE,32,65,2012
554,AMD Opteron 4334,32,95,2012
555,AMD Opteron 4340,32,95,2012
556,AMD Opteron 4376 HE,32,65,2012
557,AMD Opteron 4386,32,95,2012
558,AMD Opteron 43CX EE,32,35,2012
559,AMD Opteron 43GK HE,32,65,2012
560,AMD Opteron 6168,45,115,2010
561,AMD Opteron 6262 HE,32,85,2011
562,AMD Opteron 6272,32,115,2011
563,AMD Opteron 6274,32,115,2011
564,AMD Opteron 6276,32,115,2011
565,AMD Opteron 6278,32,115,2012
