id,Model name,Process,TDP,Release Year
566,AMD Opteron 6282 SE,32,140,2011
567,AMD Opteron 6284 SE,32,140,2012
568,AMD Opteron 6348,32,115,2012
569,AMD Opteron 6366 HE,32,85,2012
570,AMD Opteron 6376,32,115,2012
571,AMD Opteron 6378,32,115,2012
572,AMD Opteron 6380,32,115,2012
573,AMD Opteron 6386 SE,32,140,2012
574,AMD Opteron 840,130,82,2003
575,AMD Opteron 840,130,85,2003
576,AMD Opteron 840,130,82,2004
577,AMD Opteron 840 EE,130,30,2004
578,AMD Opteron 842,130,82,2003
579,AMD Opteron 842,130,85,2003
580,AMD Opteron 842,90,85,2004
581,AMD Opteron 842,130,82,2004
582,AMD Opteron 844,130,82,2003
583,AMD Opteron 844,130,85,2003
584,AMD Opteron 844,90,85,2004
585,AMD Opteron 844,130,82,2004
586,AMD Opteron 846,130,89,2003
587,AMD Opteron 846,90,85,2004
588,AMD Opteron 846,90,85,2004
589,AMD Opteron 846 HE,130,55,2004
590,AMD Opteron 846 HE,90,55,2005
591,AMD Opteron 848,130,89,2003
592,AMD Opteron 848,90,85,2004
593,AMD Opteron 848,130,89,2004
594,AMD Opteron 848 HE,90,55,2005
595,AMD Opteron 850,130,89,2004
596,AMD Opteron 850,90,85,2004
597,AMD Opteron 850 HE,90,55,2005
598,AMD Opteron 852,90,92,2005
599,AMD Opteron 854,90,92,2005
600,AMD Opteron 856,90,92,2006
601,AMD Opteron A1120,28,25,2016
602,AMD Opteron A1150,28,32,2016
603,AMD Opteron A1170,28,32,2016
604,AMD Opteron X1150,28,17,2013
605,AMD Opteron X2 165,90,110,2005
606,AMD Opteron X2 170,90,110,2005
607,AMD Opteron X2 175,90,110,2005
608,AMD Opteron X2 180,90,110,2005
609,AMD Opteron X2 185,90,110,2006
610,AMD Opteron X2 260 HE,90,55,2005
611,AMD Opteron X2 265,90,95,2005
612,AMD Opteron X2 265 HE,90,55,2005
613,AMD Opteron X2 270,90,95,2005
614,AMD Opteron X2 270 HE,90,55,2005
615,AMD Opteron X2 275,90,95,2005
616,AMD Opteron X2 275 HE,90,55,2006
617,AMD Opteron X2 280,90,95,2005
618,AMD Opteron X2 285,90,95,2006
619,AMD Opteron X2 290,90,95,2006
620,AMD Opteron X2 860 HE,90,55,2005
621,AMD Opteron X2 865,90,95,2005
622,AMD Opteron X2 865 HE,90,55,2005
623,AMD Opteron X2 870,90,95,2005
624,AMD Opteron X2 870 HE,90,55,2005
625,AMD Opteron X2 875,90,95,2005
626,AMD Opteron X2 875 HE,90,55,2006
627,AMD Opteron X2 880,90,95,2005
628,AMD Opteron X2 885,90,95,2006
629,AMD Opteron X2 890,90,95,2006
630,AMD Opteron X2150,28,22,2013
631,AMD Opteron X2170,28,25,2016
632,AMD Phenom II 42 TWKR Black Edition,45,125,2009
633,AMD Phenom II X2 545,45,80,2009
634,AMD Phenom II X2 550,45,80,2009
635,AMD Phenom II X2 550 BE,45,80,2009
636,AMD Phenom II X2 555 BE,45,80,2010
637,AMD Phenom II X2 560 BE,45,80,2010
638,AMD Phenom II X2 565 BE,45,80,2010
639,AMD Phenom II X2 570 BE,45,80,2010
640,AMD Phenom II X2 B53,45,80,2009
641,AMD Phenom II X2 B55,45,80,2009
642,AMD Phenom II X2 B57,45,80,2010
643,AMD Phenom II X3 700e,45,65,2009
644,AMD Phenom II X3 705e,45,65,2009
645,AMD Phenom II X3 710,45,95,2009
646,AMD Phenom II X3 715 BE,45,95,2010
647,AMD Phenom II X3 720,45,95,2010
648,AMD Phenom II X3 720 BE,45,95,2009
649,AMD Phenom II X3 740 BE,45,95,2009
650,AMD Phenom II X3 B73,45,95,2009
651,AMD Phenom II X3 B75,45,95,2009
652,AMD Phenom II X3 B77,45,95,2010
653,AMD Phenom II X4 650T,45,95,2011
654,AMD Phenom II X4 805,45,95,2009
655,AMD Phenom II X4 810,45,95,2009
656,AMD Phenom II X4 820,45,95,2009
657,AMD Phenom II X4 830,45,95,2009
658,AMD Phenom II X4 840,45,95,2011
659,AMD Phenom II X4 840T,45,95,2010
660,AMD Phenom II X4 850,45,95,2011
661,AMD Phenom II X4 900e,45,65,2009
662,AMD Phenom II X4 905e,45,65,2009
663,AMD Phenom II X4 910,45,95,2009
664,AMD Phenom II X4 910e,45,65,2010
665,AMD Phenom II X4 920,45,125,2009
666,AMD Phenom II X4 925,45,95,2009
667,AMD Phenom II X4 940 BE,45,125,2009
668,AMD Phenom II X4 945 (125W),45,125,2009
669,AMD Phenom II X4 945 (95W),45,95,2009
670,AMD Phenom II X4 955 (125W),45,125,2009
671,AMD Phenom II X4 955 (95W),45,95,2009
672,AMD Phenom II X4 955 BE,45,125,2009
673,AMD Phenom II X4 960T BE,45,95,2010
674,AMD Phenom II X4 965 BE (125W),45,125,2009
675,AMD Phenom II X4 965 BE (140W),45,140,2009
676,AMD Phenom II X4 970 BE,45,125,2010
677,AMD Phenom II X4 970 BE,45,125,2010
678,AMD Phenom II X4 975 BE,45,125,2011
679,AMD Phenom II X4 980 BE,45,125,2011
680,AMD Phenom II X4 B93,45,95,2009
681,AMD Phenom II X4 B95,45,95,2009
682,AMD Phenom II X4 B97,45,95,2010
683,AMD Phenom II X6 1035T,45,95,2010
684,AMD Phenom II X6 1045T,45,95,2010
685,AMD Phenom II X6 1055T (125W),45,125,2010
686,AMD Phenom II X6 1055T (95W),45,95,2010
687,AMD Phenom II X6 1065T,45,125,2010
688,AMD Phenom II X6 1075T,45,125,2010
689,AMD Phenom II X6 1090T BE,45,125,2010
690,AMD Phenom II X6 1100T BE,45,125,2010
691,AMD Phenom X3 8250e,65,65,2008
692,AMD Phenom X3 8400,65,95,2008
693,AMD Phenom X3 8450,65,95,2008
694,AMD Phenom X3 8450e,65,65,2008
695,AMD Phenom X3 8550,65,95,2008
696,AMD Phenom X3 8600,65,95,2008
697,AMD Phenom X3 8650,65,95,2008
698,AMD Phenom X3 8750,65,95,2008
699,AMD Phenom X3 8750 BE,65,95,2008
700,AMD Phenom X3 8850,65,95,2008
701,AMD Phenom X4 9100e,65,65,2008
702,AMD Phenom X4 9150e,65,65,2008
703,AMD Phenom X4 9350e,65,65,2008
704,AMD Phenom X4 9450e,65,65,2008
705,AMD Phenom X4 9500,65,95,2007
706,AMD Phenom X4 9550,65,95,2008
707,AMD Phenom X4 9600,65,95,2007
708,AMD Phenom X4 9600 BE,65,95,2007
709,AMD Phenom X4 9600B,65,95,2008
710,AMD Phenom X4 9650,65,95,2008
711,AMD Phenom X4 9750 (125W),65,125,2008
712,AMD Phenom X4 9750 (95W),65,95,2008
713,AMD Phenom X4 9750B,65,95,2008
714,AMD Phenom X4 9850 (125W),65,125,2008
715,AMD Phenom X4 9850 (95W),65,95,2008
716,AMD Phenom X4 9850 BE,65,125,2008
717,AMD Phenom X4 9850B,65,95,2008
718,AMD Phenom X4 9950 BE (125W),65,125,2008
719,AMD Phenom X4 9950 BE (140W),65,140,2008
720,AMD Ryzen 3 1200,14,65,2017
721,AMD Ryzen 3 1300,14,65,2017
722,AMD Ryzen 3 1300X,14,65,2017
723,AMD Ryzen 3 2200G,14,65,2018
724,AMD Ryzen 3 2200U,14,15,2018
725,AMD Ryzen 3 2300U,14,15,2018
726,AMD Ryzen 3 2300X,14,65,2018
727,AMD Ryzen 3 3100,7,65,2020
728,AMD Ryzen 3 3200G,12,65,2019
729,AMD Ryzen 3 3200U,12,15,2019
730,AMD Ryzen 3 3250U,12,15,2020
731,AMD Ryzen 3 3300U,12,15,2019
732,AMD Ryzen 3 3300X,7,65,2020
733,AMD Ryzen 3 4300G,7,65,2020
734,AMD Ryzen 3 4300GE,7,35,2020
735,AMD Ryzen 3 4300U,7,25,2020
736,AMD Ryzen 3 5300G,7,65,2021
737,AMD Ryzen 3 PRO 1200,14,65,2017
738,AMD Ryzen 3 PRO 1300,14,65,2017
739,AMD Ryzen 3 PRO 2300U,14,15,2019
740,AMD Ryzen 3 PRO 3300U,12,15,2019
741,AMD Ryzen 3 PRO 4350G,7,65,2020
742,AMD Ryzen 3 PRO 4350GE,7,35,2020
743,AMD Ryzen 3 PRO 4450U,7,15,2020
744,AMD Ryzen 5 1400,14,65,2017
745,AMD Ryzen 5 1500X,14,65,2017
746,AMD Ryzen 5 1600,14,65,2017
747,AMD Ryzen 5 1600X,14,95,2017
748,AMD Ryzen 5 2400G,14,65,2018
749,AMD Ryzen 5 2500U,14,15,2017
750,AMD Ryzen 5 2500X,12,65,2018
751,AMD Ryzen 5 2600,12,65,2018
752,AMD Ryzen 5 2600E,12,65,2018
753,AMD Ryzen 5 2600H,14,15,2018
754,AMD Ryzen 5 2600X,12,95,2018
755,AMD Ryzen 5 3400G,12,65,2019
756,AMD Ryzen 5 3500U,12,15,2019
757,AMD Ryzen 5 3500X,7,65,2019
758,AMD Ryzen 5 3550H,12,35,2019
759,AMD Ryzen 5 3580U,12,15,2019
760,AMD Ryzen 5 3600,7,65,2019
761,AMD Ryzen 5 3600X,7,95,2019
762,AMD Ryzen 5 3600XT,7,95,2019
763,AMD Ryzen 5 4500U,7,25,2020
764,AMD Ryzen 5 4600G,7,65,2020
765,AMD Ryzen 5 4600GE,7,35,2020
766,AMD Ryzen 5 4600H,7,54,2020
767,AMD Ryzen 5 4600HS,7,35,2020
768,AMD Ryzen 5 4600U,7,25,2020
769,AMD Ryzen 5 5500U,7,25,2021
770,AMD Ryzen 5 5600G,7,65,2021
771,AMD Ryzen 5 5600X,7,65,2020
772,AMD Ryzen 5 PRO 1500,14,65,2017
773,AMD Ryzen 5 PRO 1600,14,65,2017
774,AMD Ryzen 5 PRO 2400G,14,65,2018
775,AMD Ryzen 5 PRO 2500U,14,15,2019
776,AMD Ryzen 5 PRO 2600,12,65,2018
777,AMD Ryzen 5 PRO 3500U,12,15,2019
778,AMD Ryzen 5 PRO 4650G,7,65,2020
779,AMD Ryzen 5 PRO 4650GE,7,35,2020
780,AMD Ryzen 5 PRO 4650U,7,15,2020
781,AMD Ryzen 7 1700,14,65,2017
782,AMD Ryzen 7 1700X,14,95,2017
783,AMD Ryzen 7 1800X,14,95,2017
784,AMD Ryzen 7 2700,12,65,2018
785,AMD Ryzen 7 2700E,12,65,2018
786,AMD Ryzen 7 2700U,14,15,2017
787,AMD Ryzen 7 2700X,12,105,2018
788,AMD Ryzen 7 2700X 50th Anniversary,12,105,2019
789,AMD Ryzen 7 2800H,14,15,2018
790,AMD Ryzen 7 3700U,12,15,2019
791,AMD Ryzen 7 3700X,7,65,2019
792,AMD Ryzen 7 3750H,12,35,2019
793,AMD Ryzen 7 3780U,12,15,2019
794,AMD Ryzen 7 3800X,7,105,2019
795,AMD Ryzen 7 3800XT,7,105,2020
796,AMD Ryzen 7 4700G,7,65,2020
797,AMD Ryzen 7 4700GE,7,35,2020
798,AMD Ryzen 7 4700U,7,25,2020
799,AMD Ryzen 7 4750U,7,15,2020
800,AMD Ryzen 7 4800H,7,54,2020
801,AMD Ryzen 7 4800HS,7,35,2020
802,AMD Ryzen 7 4800U,7,25,2020
803,AMD Ryzen 7 5700G,7,65,2021
804,AMD Ryzen 7 5800H,7,54,2021
805,AMD Ryzen 7 5800HS,7,35,2021
806,AMD Ryzen 7 5800X,7,105,2020
807,AMD Ryzen 7 PRO 1700,14,65,2017
808,AMD Ryzen 7 PRO 1700X,14,95,2017
809,AMD Ryzen 7 PRO 2700,12,65,2018
810,AMD Ryzen 7 PRO 2700U,14,15,2017
811,AMD Ryzen 7 PRO 2700X,12,95,2018
812,AMD Ryzen 7 PRO 3700U,12,15,2019
813,AMD Ryzen 7 PRO 4750G,7,65,2020
814,AMD Ryzen 7 PRO 4750GE,7,35,2020
815,AMD Ryzen 9 3900X,7,105,2019
816,AMD Ryzen 9 3900XT,7,105,2020
817,AMD Ryzen 9 3950X,7,105,2019
818,AMD Ryzen 9 4900H,7,54,2020
819,AMD Ryzen 9 4900HS,7,35,2020
820,AMD Ryzen 9 5900HX,7,45,2021
821,AMD Ryzen 9 5900X,7,105,2020
822,AMD Ryzen 9 5950X,7,105,2020
823,AMD Ryzen 9 5980HS,7,35,2021
824,AMD Ryzen Embedded V1202B,14,15,2018
825,AMD Ryzen Embedded V1605B,14,15,2018
826,AMD Ryzen Embedded V1756B,14,45,2018
827,AMD Ryzen Embedded V1807B,14,45,2018
828,AMD Ryzen Threadripper 1900,14,125,2017
829,AMD Ryzen Threadripper 1900X,14,125,2017
830,AMD Ryzen Threadripper 1920,14,140,2017
831,AMD Ryzen Threadripper 1920X,14,180,2017
832,AMD Ryzen Threadripper 1940,14,180,2017
833,AMD Ryzen Threadripper 1940X,14,180,2017
834,AMD Ryzen Threadripper 1950,14,180,2017
835,AMD Ryzen Threadripper 1950X,14,180,2017
836,AMD Ryzen Threadripper 2920X,12,180,2018
837,AMD Ryzen Threadripper 2950X,12,180,2018
838,AMD Ryzen Threadripper 2970WX,12,250,2018
839,AMD Ryzen Threadripper 2990WX,12,250,2018
840,AMD Ryzen Threadripper 3960X,7,280,2019
841,AMD Ryzen Threadripper 3970X,7,280,2019
842,AMD Ryzen Threadripper 3980X,7,280,2019
843,AMD Ryzen Threadripper 3990X,7,280,2020
844,AMD Ryzen Threadripper PRO 3945WX,7,280,2020
845,AMD Ryzen Threadripper PRO 3955WX,7,280,2020
846,AMD Ryzen Threadripper PRO 3975WX,7,280,2020
847,AMD Ryzen Threadripper PRO 3995WX,7,280,2020
848,AMD Sempron 130,45,45,2011
849,AMD Sempron 140,45,45,2009
850,AMD Sempron 145,45,45,2010
851,AMD Sempron 150,45,45,2010
852,AMD Sempron 180,45,45,2010
853,AMD Sempron 2200+,130,62,2001
854,AMD Sempron 2200+,130,62,2004
855,AMD Sempron 2200+,130,62,2004
856,AMD Sempron 2300+,130,62,2001
857,AMD Sempron 2300+,130,62,2004
858,AMD Sempron 2400+,130,62,2001
859,AMD Sempron 2400+,130,62,2004
860,AMD Sempron 2400+,130,62,2004
861,AMD Sempron 2500+,130,62,2001
862,AMD Sempron 2500+,130,62,2004
863,AMD Sempron 2500+,90,62,2005
864,AMD Sempron 2600+,130,62,2001
865,AMD Sempron 2600+,130,25,2001
866,AMD Sempron 2600+,90,25,2004
867,AMD Sempron 2600+,90,62,2004
868,AMD Sempron 2600+,90,62,2004
869,AMD Sempron 2600+,130,62,2004
870,AMD Sempron 2800+,130,62,2001
871,AMD Sempron 2800+,130,25,2001
872,AMD Sempron 2800+,90,25,2004
873,AMD Sempron 2800+,90,62,2004
874,AMD Sempron 2800+,90,62,2004
875,AMD Sempron 2800+,130,62,2004
876,AMD Sempron 2800+,130,62,2004
877,AMD Sempron 2800+,90,25,2005
878,AMD Sempron 2800+,90,62,2006
879,AMD Sempron 3000+,130,25,2001
880,AMD Sempron 3000+,90,62,2004
881,AMD Sempron 3000+,90,25,2004
882,AMD Sempron 3000+,130,62,2004
883,AMD Sempron 3000+,90,62,2005
884,AMD Sempron 3000+,90,25,2005
885,AMD Sempron 3000+,90,62,2005
886,AMD Sempron 3000+,130,62,2005
887,AMD Sempron 3000+,90,62,2005
888,AMD Sempron 3000+,90,62,2006
889,AMD Sempron 3000+ EE SFF,90,35,2006
890,AMD Sempron 3100+,130,25,2001
891,AMD Sempron 3100+,130,62,2004
892,AMD Sempron 3100+,90,62,2005
893,AMD Sempron 3100+,90,62,2005
894,AMD Sempron 3100+,90,25,2005
895,AMD Sempron 3100+,90,62,2005
896,AMD Sempron 3100+,90,25,2005
897,AMD Sempron 3200+,90,62,2005
898,AMD Sempron 3200+,90,62,2006
899,AMD Sempron 3200+ EE SFF,90,35,2006
900,AMD Sempron 3300+,130,62,2001
901,AMD Sempron 3300+,90,62,2005
902,AMD Sempron 3300+,90,62,2005
903,AMD Sempron 3300+,90,25,2005
904,AMD Sempron 3300+,90,62,2005
905,AMD Sempron 3400+,90,62,2005
906,AMD Sempron 3400+,90,62,2005
907,AMD Sempron 3400+,90,62,2006
908,AMD Sempron 3400+,90,62,2006
909,AMD Sempron 3400+,90,25,2006
910,AMD Sempron 3400+ EE SFF,90,35,2006
911,AMD Sempron 3500+,90,62,2005
912,AMD Sempron 3500+,90,62,2006
913,AMD Sempron 3500+ EE SFF,90,35,2006
914,AMD Sempron 3600+,90,62,2006
915,AMD Sempron 3600+,90,62,2006
916,AMD Sempron 3800+,90,62,2006
917,AMD Sempron LE-1100,65,45,2007
918,AMD Sempron LE-1150,65,45,2007
919,AMD Sempron LE-1200,65,45,2007
920,AMD Sempron LE-1250,65,45,2007
921,AMD Sempron LE-1300,65,45,2007
922,AMD Sempron X2 2100,65,65,2008
923,AMD Sempron X2 2100,65,65,2008
924,AMD Sempron X2 2200,65,65,2008
925,AMD Sempron X2 2300,65,65,2008
926,AMD Turion 64 ML-28,90,32,2005
927,AMD Turion 64 ML-30,90,35,2005
928,AMD Turion 64 ML-32,90,35,2005
929,AMD Turion 64 ML-34,90,35,2005
930,AMD Turion 64 ML-37,90,35,2005
931,AMD Turion 64 ML-40,90,35,2005
932,AMD Turion 64 ML-42,90,35,2005
933,AMD Turion 64 ML-44,90,35,2006
934,AMD Turion 64 MT-28,90,22,2005
935,AMD Turion 64 MT-30,90,22,2005
936,AMD Turion 64 MT-32,90,25,2005
937,AMD Turion 64 MT-34,90,25,2005
938,AMD Turion 64 MT-37,90,25,2005
939,AMD Turion 64 MT-40,90,25,2005
940,AMD Turion X2 RM-70,65,31,2006
941,AMD Turion X2 RM-72,65,35,2008
942,AMD Turion X2 RM-74,65,35,2008
943,AMD Turion X2 RM-75,65,35,2008
944,AMD Turion X2 RM-77,65,35,2008
945,AMD Turion X2 Ultra ZM-80,65,32,2008
946,AMD Turion X2 Ultra ZM-82,65,35,2008
947,AMD Turion X2 Ultra ZM-84,65,35,2008
948,AMD Turion X2 Ultra ZM-85,65,35,2008
949,AMD Turion X2 Ultra ZM-86,65,35,2008
950,AMD Turion X2 Ultra ZM-87,65,35,2008
951,AMD Turion X2 Ultra ZM-88,65,35,2008
952,AMD Z-01,40,6,2011
953,AMD Z-60,40,5,2012
954,Intel A100,90,3,2007
955,Intel A110,90,3,2007
956,Intel Atom 230,45,4,2008
957,Intel Atom 330,45,8,2008
958,Intel Atom CE4100,45,7,2009
959,Intel Atom CE4130,45,7,2009
960,Intel Atom CE4150,45,7,2009
961,Intel Atom D2500,32,10,2011
962,Intel Atom D2550,32,10,2011
963,Intel Atom D2700,32,10,2011
964,Intel Atom D410,45,10,2010
965,Intel Atom D425,45,10,2010
966,Intel Atom D510,45,13,2009
967,Intel Atom D525,45,13,2010
968,Intel Atom E3815,22,5,2013
969,Intel Atom E3825,22,6,2013
970,Intel Atom E3826,22,7,2013
971,Intel Atom E3827,22,8,2013
972,Intel Atom E3845,22,10,2013
973,Intel Atom E620,45,3,2010
974,Intel Atom E620T,45,3,2010
975,Intel Atom E625C,45,3,2010
976,Intel Atom E625CT,45,3,2010
977,Intel Atom E640,45,3,2010
978,Intel Atom E640T,45,3,2010
979,Intel Atom E645C,45,4,2010
980,Intel Atom E645CT,45,4,2010
981,Intel Atom E660,45,3,2010
982,Intel Atom E660T,45,3,2010
983,Intel Atom E665C,45,4,2010
984,Intel Atom E665CT,45,7,2010
985,Intel Atom E680,45,4,2010
986,Intel Atom E680T,45,4,2010
987,Intel Atom N2600,32,4,2011
988,Intel Atom N270,45,3,2008
989,Intel Atom N280,45,3,2008
990,Intel Atom N2800,32,7,2011
991,Intel Atom N450,45,6,2009
992,Intel Atom N455,45,7,2010
993,Intel Atom N470,45,7,2010
994,Intel Atom N475,45,7,2010
995,Intel Atom N550,45,9,2010
996,Intel Atom N570,45,9,2011
997,Intel Atom S1220,32,8,2012
998,Intel Atom S1240,32,6,2012
999,Intel Atom S1260,32,9,2012
1000,Intel Atom Z2420,32,3,2013
1001,Intel Atom Z2460,32,3,2012
1002,Intel Atom Z2480,32,3,2013
1003,Intel Atom Z2520,32,3,2013
1004,Intel Atom Z2560,32,3,2013
1005,Intel Atom Z2580,32,3,2013
1006,Intel Atom Z2760,32,3,2012
1007,Intel Atom Z3740,22,2,2013
1008,Intel Atom Z3770,22,8,2013
1009,Intel Atom Z500,45,1,2008
1010,Intel Atom Z510,45,2,2008
1011,Intel Atom Z510P,45,2,2009
1012,Intel Atom Z510PT,45,2,2009
1013,Intel Atom Z515,45,1,2009
1014,Intel Atom Z520,45,2,2008
1015,Intel Atom Z520PT,45,2,2009
1016,Intel Atom Z530,45,2,2008
1017,Intel Atom Z530P,45,2,2009
1018,Intel Atom Z540,45,2,2008
1019,Intel Atom Z550,45,2,2009
1020,Intel Atom Z560,45,2,2010
1021,Intel Atom Z600,45,1,2010
1022,Intel Atom Z605,45,2,2010
1023,Intel Atom Z610,45,1,2010
1024,Intel Atom Z612,45,1,2010
1025,Intel Atom Z615,45,2,2010
1026,Intel Atom Z620,45,1,2010
1027,Intel Atom Z625,45,2,2010
1028,Intel Atom Z650,45,3,2011
1029,Intel Atom Z670,45,3,2011
1030,Intel Aubrey Isle,45,300,2010
1031,Intel Celeron 1000M,22,35,2013
1032,Intel Celeron 1007U,22,17,2013
1033,Intel Celeron 1020E,22,35,2013
1034,Intel Celeron 1020E,22,35,2013
1035,Intel Celeron 1020M,22,35,2013
1036,Intel Celeron 1037U,22,17,2013
1037,Intel Celeron 1047UE,22,17,2013
1038,Intel Celeron 2.0,130,73,2002
1039,Intel Celeron 2.0,130,73,2002
1040,Intel Celeron 2.10,130,73,2002
1041,Intel Celeron 2.20,130,73,2002
1042,Intel Celeron 2.30,130,73,2003
1043,Intel Celeron 2.40,130,73,2003
1044,Intel Celeron 2.60,130,73,2003
1045,Intel Celeron 2.70,130,73,2003
1046,Intel Celeron 2.80,130,73,2003
1047,Intel Celeron 220,65,19,2007
1048,Intel Celeron 2950M,22,37,2013
1049,Intel Celeron 2950M,22,37,2013
1050,Intel Celeron 2955U,22,15,2013
1051,Intel Celeron 2955U,22,15,2013
1052,Intel Celeron 2961Y,22,12,2013
1053,Intel Celeron 2980U,22,15,2013
1054,Intel Celeron 3205U,14,15,2015
1055,Intel Celeron 3755U,14,15,2015
1056,Intel Celeron 420,65,35,2007
1057,Intel Celeron 430,65,35,2007
1058,Intel Celeron 440,65,35,2007
1059,Intel Celeron 445,65,65,2008
1060,Intel Celeron 450,65,35,2008
1061,Intel Celeron 725C,32,17,2011
1062,Intel Celeron 787,32,17,2011
1063,Intel Celeron 797,32,17,2012
1064,Intel Celeron 807,32,17,2012
1065,Intel Celeron 847,32,17,2011
1066,Intel Celeron 857,32,17,2011
1067,Intel Celeron 867,32,17,2012
1068,Intel Celeron 877,32,17,2012
1069,Intel Celeron 887,32,17,2012
1070,Intel Celeron 947UE,22,17,2013
1071,Intel Celeron B710,32,35,2011
1072,Intel Celeron B720,32,35,2012
1073,Intel Celeron B730,32,35,2012
1074,Intel Celeron B800,32,35,2011
1075,Intel Celeron B810,32,35,2011
1076,Intel Celeron B815,32,35,2012
1077,Intel Celeron B820,32,35,2012
1078,Intel Celeron B830,32,35,2012
1079,Intel Celeron B840,32,35,2011
1080,Intel Celeron D 325,90,73,2004
1081,Intel Celeron D 326,90,73,2004
1082,Intel Celeron D 330,90,84,2004
1083,Intel Celeron D 335,90,84,2004
1084,Intel Celeron D 335,90,84,2004
1085,Intel Celeron D 340,90,84,2004
1086,Intel Celeron D 341,90,84,2004
1087,Intel Celeron D 346,90,73,2004
1088,Intel Celeron D 350,90,84,2005
1089,Intel Celeron D 352,65,84,2006
1090,Intel Celeron E1200,65,65,2008
1091,Intel Celeron E1400,65,65,2008
1092,Intel Celeron E1500,65,65,2008
1093,Intel Celeron E1600,65,65,2009
1094,Intel Celeron E3200,45,65,2009
1095,Intel Celeron E3300,45,65,2009
1096,Intel Celeron E3400,45,65,2010
1097,Intel Celeron E3500,45,65,2010
1098,Intel Celeron G1101,32,73,2010
1099,Intel Celeron G1610,22,55,2012
1100,Intel Celeron G1610T,22,35,2012
1101,Intel Celeron G1620,22,55,2012
1102,Intel Celeron G1620T,22,35,2013
1103,Intel Celeron G1630,22,55,2013
